YRESID,CCODE,PWEIGHT_1,PRETEST,YIMODE,YQ8,YQ9_a,YQ9_b,YQ9_c,YQ9_d,YQ10_a,YQ10_b,YQ10_c,YQ10_d,YQ10_e,YQ10_f,YQ10_g,YQ10_h,YQ10_i,YQ14a_1,YQ14a_2,YQ14a_3,YQ14a_4,YQ14a_5,YQ14a_6,YQ14a_7,YQ14a_8,YQ14a_9,YQ14a_10,YQ14b,YQ21_c,YQ21_f,YQ28_mother,YQ28_father,YQ28a_0,YQ28a_1,YQ28a_2,YQ28a_3,YQ28a_4,YQ28a_5,YQ28a_6,YQ28a_7,YQ28a_8,YQ28d,YQ42,YQCONTACT,PMCORD,PMIMODE,PMQ10,PMQ11_a,PMQ11_b,PMQ11_c,PMQ11_d,PMQ18_c,PMQ18_f,PFCORD,PFIMODE,PFQ10,PFQ11_a,PFQ11_b,PFQ11_c,PFQ11_d,PFQ18_c,PFQ18_f
10400024,1040,1.43287442256439,,1,3,3,3,,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4,4,1,1,1,0,0,1,1,1,0,0,0,0,2,1,1,,,,,,,,,,1,2,4,4,4,4,3,4,2
10400025,1040,1.12167687534662,,1,2,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,2,3,1,1,0,0,1,1,1,0,0,0,0,2,2,1,1,2,1,2,1,,,3,4,,,,,,,,,
10400026,1040,0.91166698998518,,1,2,3,2,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5,3,2,1,1,0,0,1,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,
10400027,1040,2.39220016299634,,1,1,3,,,,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,3,4,2,1,1,0,1,0,0,0,1,0,0,0,,2,1,1,2,4,4,4,4,3,4,1,,,,,,,,,
10400028,1040,0.648709743173184,,1,2,3,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,2,1,1,0,0,1,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,
10400029,1040,0.648709743173184,,1,1,2,1,,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,4,3,3,1,1,0,0,1,1,1,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,
10400030,1040,1.19385040319215,,1,3,2,3,,2,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4,3,3,1,1,0,0,0,1,1,0,0,0,0,2,1,2,,,,,,,,,,,,,,,,,,
10400031,1040,4,,1,2,4,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,3,2,1,,0,1,0,0,0,1,0,0,0,,2,1,,,,,,,,,,,,,,,,,,
10400032,1040,2.09591757965718,,1,2,2,1,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,1,0,0,0,0,0,0,0,,1,2,,,,,,,,,,,,,,,,,,
10400033,1040,1.41538610459121,,1,1,3,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6,1,3,1,2,0,0,0,0,0,0,0,0,1,,2,2,,,,,,,,,,,,,,,,,,
10400034,1040,3.76925189502261,,1,2,3,3,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,4,1,1,0,1,0,0,0,1,0,0,0,,2,1,,,,,,,,,,,,,,,,,,
10400035,1040,1.39380962484221,,1,2,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,4,1,1,0,1,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,,,,
10400036,1040,2.62450043948398,,1,3,3,3,4,4,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,3,3,1,1,0,1,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,,,,
10400037,1040,0.559148892281951,,1,1,4,1,4,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,4,1,4,1,0,1,0,0,0,0,0,0,0,,2,1,,,,,,,,,,1,2,3,3,4,4,1,4,2
10400038,1040,1.55419148941977,,1,2,4,4,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,4,2,,4,0,1,0,0,0,0,0,0,0,,1,2,,,,,,,,,,,,,,,,,,
10400039,1040,0.724107183384014,,1,3,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2,2,1,1,0,0,1,1,1,0,0,0,0,1,2,2,,,,,,,,,,,,,,,,,,
10400040,1040,2.04600947851172,,1,2,4,2,,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,0,1,1,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,
10400041,1040,0.617896937799879,,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,3,1,,0,0,1,0,0,0,0,0,0,1,2,2,,,,,,,,,,,,,,,,,,
10400042,1040,0.91166698998518,,1,3,4,4,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4,1,4,1,1,0,0,1,1,1,0,0,0,0,2,1,2,,,,,,,,,,,,,,,,,,
10400043,1040,0.906202003488976,,1,2,4,3,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,1,1,0,0,1,1,1,0,0,0,0,1,2,2,,,,,,,,,,,,,,,,,,
10400044,1040,1.49966113964088,,1,4,4,4,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,,,,,,,,,,
10400045,1040,0.617896937799879,,1,3,3,2,2,2,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,4,2,2,1,1,0,0,0,0,0,0,0,0,1,,2,2,,,,,,,,,,,,,,,,,,
10400046,1040,1.20733635075745,,1,3,4,2,4,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,3,3,1,,0,1,0,0,0,0,0,0,0,,2,2,,,,,,,,,,,,,,,,,,
10400047,1040,0.559148892281951,,1,1,3,3,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,2,2,1,1,0,0,0,1,0,0,0,0,0,2,2,1,,,,,,,,,,1,2,4,4,4,4,2,3,2
10400048,1040,0.724107183384014,,1,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,1,1,0,0,1,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,
10400049,1040,0.559148892281951,,1,3,4,3,,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,4,3,1,1,0,0,1,1,1,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,
10400050,1040,,,1,2,3,1,2,2,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,4,2,3,1,3,1,0,0,0,0,0,0,0,0,,1,2,,,,,,,,,,,,,,,,,,
10400051,1040,1.63407701821113,,1,1,3,2,2,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,4,3,3,1,1,0,1,0,0,0,0,0,0,0,,1,2,,,,,,,,,,,,,,,,,,
10400052,1040,1.31180753802382,,1,3,4,4,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,1,0,0,0,0,0,0,0,,2,1,1,2,3,4,3,4,1,1,2,,,,,,,,,
10400053,1040,1.01237885588157,,1,3,4,4,4,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,0,0,0,0,0,0,0,,2,2,,,,,,,,,,,,,,,,,,
10400054,1040,0.617896937799879,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,4,1,1,0,0,1,1,1,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,
10400055,1040,1.15725009911084,,1,2,4,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,3,3,1,1,0,1,0,0,0,0,0,0,0,,2,2,,,,,,,,,,,,,,,,,,
10400056,1040,2.76215606322004,,1,3,4,4,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,,0,1,0,0,0,0,0,0,0,,1,2,,,,,,,,,,,,,,,,,,
10400057,1040,1.39380962484221,,1,2,4,4,4,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,4,1,1,0,1,0,0,0,1,0,0,0,,1,2,,,,,,,,,,,,,,,,,,
10400058,1040,0.559148892281951,,1,3,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,1,1,0,0,1,1,1,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,
10400059,1040,1.49966113964088,,1,4,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,0,0,0,0,0,0,0,,2,2,,,,,,,,,,,,,,,,,,
10400060,1040,2.43999543737578,,1,4,4,4,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,1,0,0,0,1,0,0,0,,1,1,,,,,,,,,,,,,,,,,,
10400061,1040,0.688793770637568,,1,3,4,3,4,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,4,3,1,1,0,1,0,0,0,0,0,0,0,,2,2,,,,,,,,,,,,,,,,,,
10400062,1040,1.55419148941977,,1,3,4,4,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,1,1,0,1,0,0,0,1,0,0,0,,1,2,,,,,,,,,,,,,,,,,,
10400063,1040,2.04600947851172,,1,2,3,2,,,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,3,1,3,1,1,1,0,0,0,0,0,0,0,0,,1,2,,,,,,,,,,,,,,,,,,
10400064,1040,1.99605686666332,,1,3,4,2,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,3,1,1,0,0,1,0,1,0,0,0,0,2,1,1,1,2,3,4,1,4,1,3,3,,,,,,,,,
10400065,1040,1.64234207281253,,1,2,3,3,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,1,0,0,0,0,0,0,0,,2,2,,,,,,,,,,,,,,,,,,
10400066,1040,0.574167427178771,,1,2,2,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,2,3,1,1,0,0,0,0,0,0,0,0,1,,2,2,,,,,,,,,,,,,,,,,,
10400067,1040,0.906202003488976,,1,2,4,3,,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,4,2,3,1,1,0,0,1,1,1,0,0,0,0,1,2,1,,,,,,,,,,,,,,,,,,
10400068,1040,1.27919595136542,,1,3,4,4,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,,2,2,3,4,2,2,2,3,2
10400069,1040,1.26091058403423,,1,2,3,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,,1,2,,,,,,,,,,,,,,,,,,
10400070,1040,2.52780916697042,,1,2,3,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,3,2,1,1,0,0,1,1,0,0,0,0,0,1,2,2,,,,,,,,,,,,,,,,,,
10400071,1040,1.55754714052966,,1,3,4,4,4,4,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,1,1,0,0,1,1,1,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,
10400072,1040,1.29488531229169,,1,3,4,4,4,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,3,2,1,1,0,1,0,0,0,1,0,0,0,,1,2,,,,,,,,,,,,,,,,,,
